dist1,dist2,dist3,angle
1.4301,1.2524,1.7553,-22.0
1.4301,1.2524,1.7553,-22.0
1.428,1.2507,1.7537,-22.0
1.4211,1.2452,1.7487,-22.0
1.4211,1.2452,1.7487,-22.0
1.4211,1.2452,1.7487,-22.0
1.4028,1.2307,1.7352,-22.0
1.4028,1.2307,1.7352,-22.0
1.4028,1.2307,1.7352,-22.0
1.3778,1.2114,1.716,-22.0
1.3778,1.2114,1.716,-22.0
1.3778,1.2114,1.716,-22.0
1.3457,1.1875,1.6905,-22.0
1.3457,1.1875,1.6905,-22.0
1.3457,1.1875,1.6905,-22.0
1.3069,1.16,1.658,-22.0
1.3069,1.16,1.658,-22.0
1.3069,1.16,1.658,-22.0
1.9443,1.1311,1.6184,0.0
1.9443,1.1311,1.6184,0.0
1.9051,1.1068,1.5885,0.0
1.8827,1.092,1.5742,0.0
1.8827,1.092,1.5742,0.0
1.837,1.0627,1.5457,0.0
1.837,1.0627,1.5457,0.0
1.7858,1.0316,1.5149,0.0
1.7858,1.0316,1.5149,0.0
1.7286,1.062,1.482,0.0
1.7286,1.062,1.482,0.0
2.361,1.0114,1.4515,0.0
2.3286,0.9833,1.8131,0.0
2.3286,0.9833,1.8131,0.0
2.2675,0.9311,1.7646,0.0
2.2675,0.9311,1.7646,0.0
2.2298,0.8996,1.7351,0.0
2.157,0.8407,1.6792,0.0
2.157,0.8407,1.6792,0.0
2.157,0.8407,1.6792,0.0
2.045,0.7561,1.5962,0.0
2.045,0.7561,1.5962,0.0
1.9708,0.7052,1.5434,0.0
2.6149,0.6774,1.5129,0.0
2.6149,0.6774,1.5129,0.0
2.6149,0.6774,1.5129,0.0
2.4825,1.1414,1.4293,0.0
2.4825,1.1414,1.4293,0.0
2.4825,1.1414,1.4293,0.0
2.3451,1.0244,1.3518,0.0
2.3451,1.0244,1.3518,0.0
2.3451,1.0244,1.3518,0.0
2.2117,0.9181,1.6378,0.0
2.2117,0.9181,1.6378,0.0
2.6701,0.8391,1.5523,0.0
2.6233,0.8084,1.5172,0.0
2.6233,0.8084,1.5172,0.0
2.521,1.3023,1.4432,0.0
2.4725,1.2595,1.4095,0.0
2.4725,1.2595,1.4095,0.0
2.3682,1.1699,1.3409,0.0
2.3682,1.1699,1.3409,0.0
2.8931,1.0837,1.278,0.0
2.8931,1.0837,1.278,0.0
2.7892,1.0065,1.6103,0.0
2.7357,0.969,1.5668,0.0
2.7357,0.969,1.5668,0.0
2.6278,0.8991,1.4814,0.0
2.5689,0.8647,1.4363,0.0
2.5689,0.8647,1.4363,0.0
2.4539,1.3223,1.3517,0.0
2.3987,1.2768,1.313,0.0
2.3987,1.2768,1.313,0.0
2.3987,1.2768,1.313,0.0
2.2431,1.1542,1.2121,0.0
2.2431,1.1542,1.2121,0.0
2.2431,1.1542,1.2121,0.0
2.7216,1.0432,1.5215,0.0
2.7216,1.0432,1.5215,0.0
2.6216,0.9825,1.4397,0.0
2.5654,1.491,1.3949,0.0
2.5654,1.491,1.3949,0.0
2.5654,1.491,1.3949,0.0
2.5654,1.491,1.3949,0.0
2.3532,1.3215,1.2355,0.0
2.3532,1.3215,1.2355,0.0
2.3532,1.3215,1.2355,0.0
2.1895,1.2016,1.1265,0.0
2.1895,1.2016,1.1265,0.0
2.0821,1.1299,1.0637,0.0
2.0345,1.1003,1.4523,0.0
2.0345,1.1003,1.4523,0.0
1.9313,1.5681,1.3623,0.0
2.5093,1.5202,1.3131,0.0
2.5093,1.5202,1.3131,0.0
2.3996,1.4361,1.2268,0.0
2.3456,1.3962,1.186,0.0
2.3456,1.3962,1.186,0.0
2.2911,1.3569,1.146,0.0
2.1614,1.2687,1.0567,0.0
2.1614,1.2687,1.0567,0.0
2.1614,1.2687,1.0567,0.0
2.0011,1.1715,0.9608,0.0
2.0011,1.1715,0.9608,0.0
1.944,1.6341,1.3503,0.0
1.8399,2.0714,1.259,22.0
1.8399,2.0714,1.259,22.0
