,dist1,dist2,dist3,angle
299,2.227,11.771,11.347,0.0
300,2.227,11.771,11.347,0.0
301,2.227,11.771,11.347,0.0
302,2.227,11.771,11.347,0.0
303,2.227,11.771,11.347,0.0
304,18.977,15.043,0.8973,0.0
305,18.977,15.043,0.8973,0.0
306,18.977,15.043,0.8973,0.0
307,18.977,15.043,0.8973,0.0
308,18.977,15.043,0.8973,0.0
309,18.977,15.043,0.8973,0.0
310,18.977,15.043,0.8973,0.0
311,22.901,13.317,11.589,0.0
312,22.901,13.317,11.589,0.0
313,22.901,13.317,11.589,0.0
314,22.901,13.317,11.589,0.0
315,22.901,13.317,11.589,0.0
316,22.901,13.317,11.589,0.0
317,20.853,12.036,10.196,0.0
318,20.556,1.187,10.015,0.0
319,20.556,1.187,10.015,0.0
320,20.556,1.187,10.015,0.0
321,20.556,1.187,10.015,0.0
322,19.202,16.325,13.317,0.0
323,19.202,16.325,13.317,0.0
324,19.202,16.325,13.317,0.0
325,18.266,15.626,12.491,0.0
326,18.266,15.626,12.491,0.0
327,18.266,15.626,12.491,0.0
328,17.285,14.924,11.645,0.0
329,17.285,14.924,11.645,0.0
330,16.652,14.491,11.115,0.0
331,16.304,14.259,10.829,0.0
332,16.304,14.259,10.829,0.0
333,15.982,1.405,10.569,0.0
334,15.982,1.405,10.569,0.0
335,15.218,13.573,0.9967,0.0
336,15.218,13.573,0.9967,0.0
337,20.827,1.318,0.9465,0.0
338,20.485,18.337,0.9233,0.0
339,20.485,18.337,0.9233,0.0
340,2.012,18.063,0.8994,0.0
341,19.444,17.565,0.8576,0.0
342,19.444,17.565,0.8576,0.0
343,18.809,17.108,0.8218,0.0
344,18.809,17.108,0.8218,0.0
345,18.175,16.665,12.097,0.0
346,18.175,16.665,12.097,0.0
347,17.093,1.594,11.129,0.0
348,17.093,1.594,11.129,0.0
349,16.749,15.719,10.826,0.0
350,16.085,15.304,10.249,0.0
351,16.085,15.304,10.249,0.0
352,16.085,15.304,10.249,0.0
353,15.124,14.741,0.9441,0.0
354,15.124,14.741,0.9441,0.0
355,14.475,19.672,0.8914,22.0
356,14.172,19.442,0.8675,22.0
357,14.172,19.442,0.8675,22.0
358,13.917,19.184,0.8507,22.0
359,19.787,13.567,0.8206,0.0
360,19.787,13.567,0.8206,0.0
361,19.287,13.223,0.7959,0.0
362,18.991,17.903,0.7801,0.0
363,18.991,17.903,0.7801,0.0
364,18.414,1.744,12.159,0.0
365,18.084,17.178,11.864,0.0
366,18.084,17.178,11.864,0.0
367,17.208,16.496,11.094,0.0
368,17.208,16.496,11.094,0.0
369,17.208,16.496,11.094,0.0
370,16.856,16.228,1.079,0.0
371,16.122,15.681,1.017,0.0
372,16.122,15.681,1.017,0.0
373,22.055,15.219,0.9647,0.0
374,21.735,15.005,0.9405,0.0
375,21.735,15.005,0.9405,0.0
376,21.102,14.593,0.8943,0.0
377,20.758,14.376,0.8702,0.0
378,20.758,14.376,0.8702,0.0
379,20.041,13.943,0.8225,0.0
380,19.743,1.377,0.8039,0.0
381,19.743,1.377,0.8039,0.0
382,19.372,13.562,0.7818,0.0
383,18.652,1.789,1.231,0.0
384,18.652,1.789,1.231,0.0
385,18.652,1.789,1.231,0.0
386,17.655,17.113,11.413,0.0
387,17.655,17.113,11.413,0.0
388,17.655,17.113,11.413,0.0
389,16.629,1.634,10.515,0.0
390,16.629,1.634,10.515,0.0
391,16.629,1.634,10.515,0.0
392,15.656,15.636,0.9692,0.0
393,15.656,15.636,0.9692,0.0
394,15.341,15.415,0.9434,22.0
395,21.181,14.918,0.8855,0.0
396,21.181,14.918,0.8855,0.0
397,21.181,14.918,0.8855,0.0
398,20.258,14.248,0.8263,0.0
399,20.258,14.248,0.8263,0.0
400,19.619,13.855,0.7868,0.0
401,19.323,1.368,0.7698,0.0
402,19.323,1.368,0.7698,0.0
403,18.675,18.189,12.306,0.0
404,18.387,18.016,12.047,0.0
405,18.387,18.016,12.047,0.0
406,18.045,17.815,1.174,0.0
407,17.329,22.282,11.108,22.0
408,17.329,22.282,11.108,22.0
409,16.977,22.073,10.802,22.0
410,18.828,16.726,10.388,0.0
411,18.828,16.726,10.388,0.0
412,18.828,16.726,10.388,0.0
413,17.996,16.183,0.9848,0.0
414,17.996,16.183,0.9848,0.0
415,17.996,16.183,0.9848,0.0
416,1.709,20.414,0.9267,22.0
417,1.709,20.414,0.9267,22.0
418,16.736,20.209,0.9056,22.0
419,19.294,19.699,14.166,22.0
420,19.294,19.699,14.166,22.0
421,19.294,19.699,14.166,22.0
422,18.519,1.441,13.737,0.0
423,18.519,1.441,13.737,0.0
424,17.999,14.006,13.453,0.0
425,17.707,13.841,13.268,0.0
426,17.707,13.841,13.268,0.0
427,17.362,1.808,13.055,22.0
428,16.758,17.684,12.699,22.0
429,16.758,17.684,12.699,22.0
430,19.778,1.714,13.602,0.0
431,19.499,16.863,13.442,0.0
432,19.499,16.863,13.442,0.0
433,18.904,1.646,13.017,0.0
434,18.604,16.262,12.809,0.0
435,18.604,16.262,12.809,0.0
436,18.314,16.074,12.612,0.0
437,17.677,15.673,12.193,0.0
438,17.677,15.673,12.193,0.0
439,1.735,15.473,11.986,0.0
440,16.678,15.079,1.158,0.0
441,16.678,15.079,1.158,0.0
442,16.678,15.079,1.158,0.0
443,15.808,1.875,1.271,22.0
444,15.808,1.875,1.271,22.0
445,15.808,1.875,1.271,22.0
446,18.853,18.056,12.122,0.0
447,18.853,18.056,12.122,0.0
448,18.853,18.056,12.122,0.0
449,18.005,17.385,11.572,0.0
450,18.005,17.385,11.572,0.0
451,17.688,1.717,1.136,0.0
452,17.018,16.727,10.932,0.0
453,17.018,16.727,10.932,0.0
454,17.018,16.727,10.932,0.0
455,16.113,16.156,1.04,22.0
456,16.113,16.156,1.04,22.0
457,16.113,16.156,1.04,22.0
458,19.376,15.494,11.964,0.0
459,19.376,15.494,11.964,0.0
460,19.051,15.298,11.718,0.0
461,18.446,14.946,11.271,0.0
462,18.446,14.946,11.271,0.0
463,18.446,14.946,11.271,0.0
464,17.511,18.178,10.618,22.0
465,17.511,18.178,10.618,22.0
466,17.511,18.178,10.618,22.0
467,16.891,17.665,10.263,22.0
468,20.948,17.398,10.167,0.0
469,20.948,17.398,10.167,0.0
470,20.335,16.856,12.399,0.0
471,20.335,16.856,12.399,0.0
472,19.695,16.397,11.903,0.0
473,1.939,16.184,11.673,0.0
474,1.939,16.184,11.673,0.0
475,1.906,15.956,11.428,0.0
476,18.481,15.566,11.013,0.0
477,18.481,15.566,11.013,0.0
478,26.134,15.195,10.619,0.0
479,25.826,15.004,10.419,0.0
480,25.826,15.004,10.419,0.0
481,25.487,1.48,10.207,0.0
482,29.126,14.451,0.985,0.0
483,29.126,14.451,0.985,0.0
484,28.485,17.567,12.243,0.0
485,28.167,17.351,11.994,0.0
486,28.167,17.351,11.994,0.0
487,27.562,16.949,1.153,0.0
488,2.725,16.746,11.296,0.0
489,2.725,16.746,11.296,0.0
490,26.664,16.376,10.869,0.0
491,26.364,16.191,10.656,0.0
492,26.364,16.191,10.656,0.0
493,2.572,15.807,10.216,0.0
494,25.391,15.618,1.0,0.0
495,25.391,15.618,1.0,0.0
496,24.712,15.242,0.9575,0.0
497,24.404,18.583,0.9393,0.0
498,24.404,18.583,0.9393,0.0
499,24.078,18.358,0.9208,0.0
500,23.389,17.892,11.656,0.0
501,23.389,17.892,11.656,0.0
502,23.389,17.892,11.656,0.0
503,2.247,17.296,10.923,0.0
504,2.247,17.296,10.923,0.0
505,2.247,17.296,10.923,0.0
506,21.519,16.711,10.199,0.0
507,21.519,16.711,10.199,0.0
508,21.519,16.711,10.199,0.0
509,20.643,16.205,0.9571,0.0
510,20.643,16.205,0.9571,0.0
511,20.643,16.205,0.9571,0.0
512,19.758,16.398,0.8982,0.0
513,19.758,16.398,0.8982,0.0
514,19.131,15.868,0.8599,0.0
515,18.826,15.613,0.8424,0.0
516,18.826,15.613,0.8424,0.0
517,18.257,15.143,0.8121,0.0
518,17.921,14.869,14.607,0.0
519,17.921,14.869,14.607,0.0
520,17.625,1.463,14.414,0.0
521,16.896,14.052,13.956,0.0
522,16.896,14.052,13.956,0.0
523,16.896,14.052,13.956,0.0
524,16.028,13.384,13.444,0.0
525,16.028,13.384,13.444,0.0
526,15.434,12.942,13.117,0.0
527,15.102,1.27,19.603,-22.0
528,15.102,1.27,19.603,-22.0
529,14.799,12.485,1.941,-22.0
530,18.886,12.168,18.896,-22.0
531,18.886,12.168,18.896,-22.0
532,18.886,12.168,18.896,-22.0
533,18.012,1.35,11.781,0.0
534,18.012,1.35,11.781,0.0
535,18.012,1.35,11.781,0.0
536,17.125,1.277,17.529,-22.0
537,17.125,1.277,17.529,-22.0
538,16.765,12.476,17.278,-22.0
539,16.178,12.072,16.725,-22.0
540,16.178,12.072,16.725,-22.0
541,16.178,12.072,16.725,-22.0
542,21.057,11.646,10.104,0.0
543,21.057,11.646,10.104,0.0
544,21.057,11.646,10.104,0.0
545,20.135,11.117,15.302,0.0
546,20.135,11.117,15.302,0.0
547,19.799,14.346,15.054,0.0
548,19.087,13.719,14.543,0.0
549,19.087,13.719,14.543,0.0
550,18.791,13.461,14.336,0.0
551,18.049,12.822,13.831,0.0
552,18.049,12.822,13.831,0.0
553,17.714,12.538,13.611,0.0
554,17.044,11.978,13.188,0.0
555,17.044,11.978,13.188,0.0
556,17.044,11.978,13.188,0.0
557,1.614,11.246,12.653,0.0
558,1.614,11.246,12.653,0.0
559,1.614,11.246,12.653,0.0
560,15.203,1.052,17.835,-22.0
561,15.203,1.052,17.835,-22.0
562,15.203,1.052,17.835,-22.0
